frame,team,timestamp,positions
43,0,1.4333333333333333,"[[585, 410], [551, 201], [1050, 302], [887, 435], [881, 217], [527, 358], [714, 331], [910, 322], [780, 424], [927, 347], [82, 240], [140, 149], [233, 102]]"
43,1,1.4333333333333333,"[[980, 395], [834, 398], [684, 361], [943, 160], [720, 221], [229, 386], [1023, 445], [979, 267], [720, 147], [1183, 201], [824, 55]]"
44,0,1.4666666666666666,"[[881, 218], [884, 436], [587, 414], [781, 424], [909, 324], [1051, 303], [714, 333], [527, 360], [926, 347], [550, 201], [81, 241], [140, 149], [186, 77], [233, 102]]"
44,1,1.4666666666666666,"[[979, 395], [685, 362], [833, 399], [230, 388], [720, 221], [720, 147], [941, 161], [979, 267], [1182, 201], [1022, 451], [824, 55]]"
45,0,1.5,"[[881, 218], [884, 436], [781, 424], [587, 414], [1051, 303], [714, 333], [527, 360], [909, 324], [926, 347], [550, 201], [81, 241], [186, 77], [140, 149], [233, 102]]"
45,1,1.5,"[[979, 395], [685, 362], [833, 398], [230, 388], [720, 221], [720, 147], [941, 161], [979, 267], [1183, 201], [1022, 450], [824, 55]]"
46,0,1.5333333333333334,"[[881, 220], [548, 202], [880, 438], [527, 362], [714, 334], [587, 417], [1049, 305], [908, 326], [926, 348], [782, 428], [81, 241], [184, 77], [140, 149], [234, 101]]"
46,1,1.5333333333333334,"[[685, 362], [981, 395], [719, 148], [233, 390], [831, 400], [720, 222], [977, 268], [941, 163], [1182, 201], [1023, 454], [1020, 450], [823, 55]]"
47,0,1.5666666666666667,"[[877, 441], [527, 365], [546, 203], [906, 327], [587, 418], [714, 334], [880, 220], [1049, 307], [782, 431], [81, 241], [139, 149], [182, 79]]"
47,1,1.5666666666666667,"[[684, 363], [980, 397], [976, 269], [830, 402], [718, 223], [234, 393], [938, 163], [1180, 203], [717, 148], [1019, 452], [822, 56]]"
48,0,1.6,"[[873, 444], [526, 365], [1047, 308], [544, 202], [712, 335], [905, 329], [587, 422], [923, 351], [877, 220], [79, 243], [781, 434], [180, 80]]"
48,1,1.6,"[[684, 363], [973, 270], [827, 403], [978, 399], [234, 395], [935, 163], [1177, 203], [1022, 458], [1009, 453], [716, 223], [822, 56], [715, 148]]"
49,0,1.6333333333333333,"[[525, 366], [586, 425], [542, 203], [1046, 308], [903, 330], [869, 447], [875, 219], [710, 336], [920, 352], [177, 81], [80, 242]]"
49,1,1.6333333333333333,"[[971, 271], [683, 364], [976, 401], [825, 405], [713, 149], [713, 224], [235, 399], [1175, 204], [933, 164], [1019, 461], [1007, 453], [819, 56], [1012, 457]]"
50,0,1.6666666666666667,"[[865, 449], [540, 203], [873, 219], [919, 356], [588, 426], [1043, 308], [524, 368], [900, 330], [710, 340], [174, 82], [78, 241]]"
50,1,1.6666666666666667,"[[974, 402], [822, 407], [236, 401], [682, 366], [930, 163], [968, 273], [711, 150], [712, 226], [1173, 204], [1003, 452], [1016, 466], [1005, 453]]"
51,0,1.7,"[[864, 449], [540, 203], [873, 219], [919, 356], [588, 426], [1043, 308], [900, 330], [710, 340], [524, 367], [174, 82], [78, 241]]"
51,1,1.7,"[[974, 402], [236, 401], [822, 407], [930, 163], [682, 366], [968, 273], [711, 150], [712, 226], [1173, 204], [1002, 453], [1017, 466]]"
52,0,1.7333333333333334,"[[538, 203], [899, 330], [859, 452], [871, 220], [918, 358], [522, 370], [1041, 307], [586, 427], [709, 342], [74, 241], [171, 82]]"
52,1,1.7333333333333334,"[[237, 401], [819, 408], [708, 150], [971, 403], [680, 367], [1171, 206], [927, 163], [965, 273], [710, 227], [1000, 456], [1015, 468], [816, 56], [1004, 457]]"
53,0,1.7666666666666666,"[[521, 372], [1040, 309], [857, 454], [707, 344], [536, 204], [896, 330], [588, 427], [915, 361], [869, 219], [996, 460], [168, 82], [782, 443], [72, 242]]"
53,1,1.7666666666666666,"[[238, 402], [968, 404], [706, 150], [925, 164], [677, 368], [816, 408], [963, 274], [708, 227], [1168, 206], [1014, 473], [815, 57]]"
54,0,1.8,"[[706, 347], [519, 375], [1037, 311], [534, 204], [868, 220], [855, 455], [587, 428], [913, 362], [993, 462], [895, 333], [780, 444], [165, 81]]"
54,1,1.8,"[[961, 274], [815, 410], [922, 164], [675, 370], [1166, 207], [706, 227], [966, 404], [239, 405], [704, 150], [1013, 477], [814, 57]]"
55,0,1.8333333333333333,"[[586, 431], [705, 348], [866, 221], [519, 378], [532, 205], [852, 458], [992, 465], [1036, 312], [778, 444], [893, 335], [69, 243], [912, 363]]"
55,1,1.8333333333333333,"[[702, 151], [813, 411], [959, 274], [964, 407], [240, 408], [673, 371], [1164, 207], [1011, 478], [703, 228], [921, 166], [812, 57]]"
56,0,1.8666666666666667,"[[517, 380], [530, 205], [1034, 313], [849, 460], [585, 433], [864, 221], [704, 349], [988, 469], [777, 444], [892, 336], [910, 362], [68, 244]]"
56,1,1.8666666666666667,"[[918, 166], [957, 275], [700, 152], [964, 408], [811, 413], [241, 410], [1162, 206], [702, 228], [1009, 479], [668, 372], [810, 57]]"
57,0,1.9,"[[517, 380], [530, 205], [849, 460], [1034, 313], [585, 433], [864, 221], [704, 348], [988, 469], [777, 444], [892, 336], [910, 362], [67, 244]]"
57,1,1.9,"[[918, 166], [957, 275], [700, 152], [964, 408], [811, 413], [241, 410], [1162, 206], [702, 228], [1009, 479], [669, 372], [810, 57]]"
58,0,1.9333333333333333,"[[516, 381], [1033, 314], [848, 461], [529, 205], [862, 221], [585, 436], [984, 470], [778, 443], [703, 349], [67, 244], [891, 337]]"
58,1,1.9333333333333333,"[[962, 410], [916, 166], [700, 229], [809, 413], [242, 413], [698, 152], [954, 277], [1006, 480], [1159, 206], [668, 374], [809, 57]]"
59,0,1.9666666666666666,"[[516, 383], [846, 462], [527, 205], [861, 222], [1031, 315], [981, 472], [585, 437], [889, 339], [702, 351], [906, 364], [778, 443], [67, 243]]"
59,1,1.9666666666666666,"[[961, 411], [913, 167], [698, 230], [245, 415], [696, 152], [952, 277], [1006, 484], [807, 414], [1158, 207], [808, 57], [664, 373]]"
60,0,2.0,"[[515, 386], [977, 472], [582, 441], [860, 222], [526, 206], [844, 463], [702, 354], [1029, 315], [905, 368], [888, 340], [65, 242]]"
60,1,2.0,"[[910, 167], [695, 153], [697, 231], [950, 279], [959, 412], [1156, 208], [245, 416], [804, 414], [1005, 485], [660, 373], [806, 57]]"
61,0,2.033333333333333,"[[515, 388], [975, 475], [841, 465], [701, 355], [582, 442], [1028, 315], [858, 222], [524, 206], [887, 340], [63, 243]]"
61,1,2.033333333333333,"[[694, 154], [948, 279], [1154, 209], [958, 414], [695, 232], [246, 418], [802, 414], [1005, 488], [908, 167], [656, 374], [805, 57]]"
62,0,2.066666666666667,"[[517, 389], [700, 358], [839, 467], [581, 443], [1026, 315], [972, 478], [522, 206], [885, 341], [856, 222], [143, 86], [60, 241]]"
62,1,2.066666666666667,"[[693, 234], [905, 168], [956, 415], [246, 420], [1003, 492], [1152, 209], [691, 154], [946, 281], [652, 375], [799, 417], [804, 57], [509, 27]]"
63,0,2.1,"[[517, 389], [700, 358], [839, 467], [581, 443], [1026, 315], [972, 478], [522, 206], [885, 341], [856, 223], [143, 86], [60, 241]]"
63,1,2.1,"[[693, 234], [905, 168], [956, 415], [246, 420], [1003, 492], [1152, 209], [691, 154], [946, 281], [652, 375], [799, 417], [803, 57], [509, 27]]"
64,0,2.1333333333333333,"[[1025, 316], [883, 341], [835, 470], [518, 390], [970, 480], [854, 222], [699, 360], [580, 444], [520, 206], [900, 372], [140, 88]]"
64,1,2.1333333333333333,"[[944, 281], [691, 234], [955, 416], [688, 155], [245, 423], [903, 169], [1150, 210], [1000, 493], [798, 417], [649, 376], [802, 57], [508, 27]]"
65,0,2.1666666666666665,"[[697, 362], [852, 223], [580, 445], [966, 484], [520, 392], [832, 472], [519, 207], [1023, 318], [881, 343], [138, 89]]"
65,1,2.1666666666666665,"[[942, 282], [900, 169], [246, 425], [953, 418], [686, 155], [689, 235], [999, 496], [1147, 210], [795, 416], [647, 378], [801, 56], [507, 26]]"
66,0,2.2,"[[697, 362], [1021, 320], [517, 207], [963, 486], [579, 447], [520, 394], [850, 224], [829, 472], [879, 344], [56, 244], [135, 87], [896, 374]]"
66,1,2.2,"[[951, 421], [898, 169], [247, 427], [940, 281], [687, 235], [684, 156], [998, 498], [1144, 211], [644, 378], [799, 56], [791, 417], [787, 419]]"
67,0,2.2333333333333334,"[[579, 449], [1020, 322], [695, 364], [515, 208], [959, 486], [826, 473], [521, 395], [848, 225], [877, 345], [133, 90], [54, 244], [122, 74], [170, 63]]"
67,1,2.2333333333333334,"[[248, 428], [949, 421], [937, 282], [998, 500], [682, 156], [685, 235], [1141, 211], [895, 170], [638, 379], [777, 425], [797, 56], [784, 425]]"
68,0,2.2666666666666666,"[[578, 451], [1017, 323], [692, 365], [876, 347], [846, 225], [954, 487], [824, 474], [512, 208], [520, 396], [54, 244], [892, 376], [130, 92]]"
68,1,2.2666666666666666,"[[935, 283], [250, 429], [946, 421], [680, 157], [891, 171], [682, 235], [997, 502], [632, 379], [1139, 211], [776, 426], [795, 56]]"
69,0,2.3,"[[578, 451], [1017, 323], [692, 365], [876, 347], [846, 225], [954, 487], [824, 474], [512, 208], [520, 396], [54, 244], [892, 376], [130, 92]]"
69,1,2.3,"[[250, 429], [935, 283], [680, 157], [946, 421], [891, 171], [682, 235], [997, 502], [632, 379], [1139, 211], [776, 426], [795, 56]]"
70,0,2.3333333333333335,"[[874, 348], [1015, 323], [577, 453], [519, 397], [822, 475], [950, 488], [690, 366], [509, 209], [773, 427], [889, 376], [844, 224]]"
70,1,2.3333333333333335,"[[933, 283], [251, 430], [680, 237], [944, 421], [677, 157], [997, 503], [888, 172], [1137, 211], [628, 379], [793, 56]]"
71,0,2.3666666666666667,"[[1013, 323], [575, 454], [687, 369], [517, 397], [842, 226], [821, 477], [507, 209], [947, 491], [871, 349], [48, 242]]"
71,1,2.3666666666666667,"[[251, 432], [930, 284], [942, 421], [885, 171], [676, 237], [674, 159], [623, 379], [996, 504], [1134, 212], [777, 428], [791, 56], [771, 429]]"
72,0,2.4,"[[684, 371], [574, 456], [943, 495], [1010, 322], [817, 479], [515, 397], [502, 209], [839, 226], [119, 91], [868, 349], [47, 242]]"
72,1,2.4,"[[250, 433], [927, 286], [881, 172], [941, 422], [618, 379], [671, 159], [674, 238], [995, 504], [1131, 212], [781, 424], [789, 56], [778, 427], [497, 26]]"
73,0,2.433333333333333,"[[572, 458], [1008, 322], [681, 373], [940, 497], [815, 480], [836, 226], [498, 210], [516, 397], [864, 349], [116, 87], [882, 383], [766, 429]]"
